data,produto,regiao,quantidade,preco_unitario,faturamento
2024-01-01,Mouse,Nordeste,4,127.11,508.43
2024-01-01,SSD,Norte,4,504.74,2018.95
2024-01-01,SSD,Norte,4,381.0,1524.01
2024-01-01,Mouse,Nordeste,6,111.57,669.39
2024-01-01,Mouse,Sudeste,6,117.9,707.38
2024-01-01,Placa de Vídeo,Centro-Oeste,3,1796.68,5390.04
2024-01-01,Mouse,Sudeste,12,87.32,1047.9
2024-01-01,Placa de Vídeo,Norte,3,1695.61,5086.83
2024-01-01,Placa de Vídeo,Nordeste,7,1863.63,13045.41
2024-01-01,SSD,Norte,8,413.73,3309.85
2024-01-01,SSD,Sul,6,425.4,2552.43
2024-01-02,SSD,Nordeste,7,463.32,3243.21
2024-01-02,SSD,Centro-Oeste,4,504.87,2019.5
2024-01-02,Mouse,Sul,5,122.63,613.17
2024-01-02,Placa de Vídeo,Nordeste,6,1821.49,10928.96
2024-01-02,Placa de Vídeo,Sul,3,1597.77,4793.31
2024-01-02,SSD,Sul,7,427.01,2989.08
2024-01-02,SSD,Nordeste,7,433.14,3031.98
2024-01-02,Mouse,Nordeste,9,109.2,982.76
2024-01-02,Placa de Vídeo,Sul,6,1773.01,10638.04
2024-01-02,Placa de Vídeo,Nordeste,4,1852.19,7408.78
2024-01-02,Mouse,Centro-Oeste,9,124.45,1120.09
2024-01-03,Placa de Vídeo,Norte,6,1753.75,10522.48
2024-01-03,SSD,Norte,7,405.5,2838.5
2024-01-03,SSD,Centro-Oeste,5,451.68,2258.4
2024-01-03,Mouse,Sul,5,117.94,589.7
2024-01-03,Placa de Vídeo,Nordeste,6,1821.41,10928.46
2024-01-03,SSD,Sudeste,5,400.17,2000.85
2024-01-03,SSD,Sudeste,7,470.6,3294.21
2024-01-03,SSD,Nordeste,4,604.11,2416.44
2024-01-04,Placa de Vídeo,Nordeste,3,1806.43,5419.28
2024-01-04,Placa de Vídeo,Centro-Oeste,3,1692.23,5076.68
2024-01-04,Mouse,Sudeste,3,135.72,407.16
2024-01-04,Mouse,Sul,5,110.57,552.86
2024-01-04,Placa de Vídeo,Norte,4,1837.73,7350.92
2024-01-04,Placa de Vídeo,Centro-Oeste,1,1965.14,1965.14
2024-01-04,Mouse,Centro-Oeste,6,130.49,782.92
2024-01-04,Placa de Vídeo,Nordeste,4,1859.99,7439.96
2024-01-05,Mouse,Centro-Oeste,9,129.71,1167.37
2024-01-05,Placa de Vídeo,Sudeste,2,1812.61,3625.22
2024-01-05,SSD,Norte,7,426.43,2984.98
2024-01-05,Mouse,Nordeste,10,132.74,1327.44
2024-01-05,Mouse,Centro-Oeste,4,112.15,448.61
2024-01-05,SSD,Centro-Oeste,7,487.97,3415.76
2024-01-05,Mouse,Norte,10,124.87,1248.68
2024-01-05,SSD,Nordeste,8,517.01,4136.09
2024-01-05,SSD,Nordeste,8,418.33,3346.65
2024-01-05,Placa de Vídeo,Sul,5,1682.8,8414.01
2024-01-05,Mouse,Norte,5,115.99,579.94
2024-01-06,SSD,Sul,4,445.85,1783.39
2024-01-06,Mouse,Centro-Oeste,5,115.38,576.89
2024-01-06,Placa de Vídeo,Nordeste,5,1726.26,8631.29
2024-01-06,Mouse,Norte,6,118.16,708.95
2024-01-06,Mouse,Sudeste,9,129.73,1167.6
2024-01-07,Mouse,Sul,7,144.58,1012.08
2024-01-07,Placa de Vídeo,Centro-Oeste,4,1822.52,7290.09
2024-01-07,SSD,Sudeste,6,501.02,3006.11
2024-01-07,SSD,Norte,4,446.34,1785.35
2024-01-07,SSD,Sudeste,5,482.93,2414.67
2024-01-07,SSD,Sul,7,532.1,3724.69
2024-01-07,SSD,Nordeste,6,377.23,2263.37
2024-01-07,SSD,Nordeste,6,486.58,2919.51
2024-01-07,Placa de Vídeo,Sul,3,1585.41,4756.24
2024-01-07,Placa de Vídeo,Sul,4,1851.29,7405.18
2024-01-07,Mouse,Sul,6,122.67,736.03
2024-01-08,Placa de Vídeo,Nordeste,4,1803.56,7214.25
2024-01-08,SSD,Sul,4,419.16,1676.63
2024-01-08,SSD,Sul,6,473.05,2838.28
2024-01-08,SSD,Nordeste,6,389.08,2334.46
2024-01-08,Placa de Vídeo,Centro-Oeste,3,1686.41,5059.24
2024-01-08,Mouse,Nordeste,7,82.46,577.21
2024-01-08,SSD,Sul,7,477.39,3341.7
2024-01-08,Mouse,Centro-Oeste,5,123.9,619.48
2024-01-08,SSD,Sudeste,4,413.83,1655.31
2024-01-08,Placa de Vídeo,Sul,6,1852.98,11117.88
2024-01-08,Mouse,Sul,5,141.62,708.12
2024-01-08,Mouse,Norte,8,112.69,901.49
2024-01-09,SSD,Sul,8,432.7,3461.58
2024-01-09,Mouse,Nordeste,7,106.88,748.15
2024-01-09,Mouse,Centro-Oeste,7,113.99,797.96
2024-01-09,SSD,Norte,2,409.26,818.51
2024-01-09,SSD,Centro-Oeste,5,569.05,2845.24
2024-01-09,SSD,Sudeste,4,457.22,1828.88
2024-01-09,SSD,Norte,8,555.74,4445.94
2024-01-10,Mouse,Centro-Oeste,5,120.84,604.18
2024-01-10,SSD,Centro-Oeste,6,493.77,2962.61
2024-01-10,SSD,Nordeste,1,468.87,468.87
2024-01-10,SSD,Norte,2,388.81,777.62
2024-01-10,SSD,Sul,5,418.04,2090.18
2024-01-10,Mouse,Norte,9,117.53,1057.79
2024-01-10,Mouse,Centro-Oeste,5,124.35,621.74
2024-01-10,Placa de Vídeo,Sudeste,4,1774.52,7098.07
2024-01-10,SSD,Sul,3,429.02,1287.06
2024-01-11,Mouse,Centro-Oeste,4,127.34,509.36
2024-01-11,SSD,Sul,6,463.05,2778.27
2024-01-11,Placa de Vídeo,Norte,4,1674.89,6699.55
2024-01-11,Mouse,Centro-Oeste,3,134.58,403.73
2024-01-11,SSD,Norte,4,448.76,1795.05
2024-01-11,Mouse,Sudeste,4,95.56,382.22
2024-01-11,Placa de Vídeo,Sul,4,1855.19,7420.75
2024-01-11,SSD,Sul,2,376.37,752.73
2024-01-11,Mouse,Nordeste,4,100.81,403.23
